"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
238,"CZY","Chen, Ziyang","$157,193.94","CrossFire","$157,193.94","100.00%","China"
238,"N9","Wang, Hao","$157,193.94","CrossFire","$157,193.94","100.00%","China"
238,"Xxiao","Zheng, Qi","$157,193.94","CrossFire","$157,193.94","100.00%","China"
242,"QianC","Zhou, Yitao","$156,195.63","Arena of Valor","$156,195.63","100.00%","China"
243,"Acorn","Abdullah Akhras","$156,125.00","Fortnite","$156,125.00","100.00%","Canada"
244,"Lorenof","Artem Melnik","$155,737.93","Dota 2","$155,737.93","100.00%","Ukraine"
245,"Kawano","Kawano, Masaki","$155,006.64","Street Fighter 6","$155,006.64","100.00%","Japan"
246,"Atif Butt","Atif Ijaz Butt","$154,195.00","Tekken 8","$152,195.00","98.70%","Pakistan"
247,"Atomic","Massimo Franceschi","$153,433.33","Rocket League","$153,433.33","100.00%","United States"
248,"Firouzja2003","Alireza Firouzja","$152,099.47","Chess.com","$152,099.47","100.00%","Iran, Islamic Republic of"
249,"Wesley","Wesley Gittens","$152,000.00","Madden NFL 24","$152,000.00","100.00%","United States"
250,"RAMZES666","Roman Kushnarev","$150,744.80","Dota 2","$150,744.80","100.00%","Russian Federation"
251,"RiYue","Cao, Haixin","$150,734.67","Teamfight Tactics","$150,734.67","100.00%","China"
252,"Ming","Chi, Xiaoming","$148,443.89","Arena of Valor","$148,443.89","100.00%","China"
253,"A Hao","Gao, Zihao","$146,403.00","Teamfight Tactics","$146,403.00","100.00%","China"
254,"JueYi","Liao, Youxia","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
254,"TanRan","Sun, Linwei","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
254,"ZiYang","Xiang, Yang","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
257,"Maru","Cho, Sung Choo","$145,342.40","StarCraft II","$145,342.40","100.00%","Korea, Republic of"
258,"lou","Lou, Zhen","$144,750.00","Dota 2","$144,750.00","100.00%","China"
259,"Luki","- -","$143,466.66","Brawl Stars","$143,466.66","100.00%","Germany"
260,"JR","Ryan Na Jie Rong","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
260,"Siang","Lee, Han Siang","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
260,"Zhihong","Lim, Chee Hong","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
263,"Symantec","Bekri Tahiri","$143,249.99","Brawl Stars","$143,249.99","100.00%","Germany"
264,"QiYuan","Tu, Yi","$143,100.00","Teamfight Tactics","$143,100.00","100.00%","China"
265,"Jonny","Jonas Wirth","$142,666.40","EA Sports FC 24","$142,666.40","100.00%","Germany"
266,"ImperialHal","Philip Dosen","$142,166.67","Apex Legends","$142,166.67","100.00%","United States"
267,"QingTian","Li, Jingming","$141,980.00","Teamfight Tactics","$141,980.00","100.00%","China"
268,"Soulkey","Kim, Min Chul","$141,333.81","StarCraft: Remastered","$140,965.81","99.74%","Korea, Republic of"
269,"mini","Byun, Hyun Je","$140,191.17","StarCraft: Remastered","$139,639.17","99.61%","Korea, Republic of"
270,"BosS","Bartomeu Vadell Planisi","$139,333.33","Brawl Stars","$139,333.33","100.00%","Spain"
271,"LiangYu","Chen, Liangyu","$138,264.70","Arena of Valor","$138,264.70","100.00%","China"
271,"WanXing","Wang, Henghong","$138,264.70","Arena of Valor","$138,264.70","100.00%","China"
273,"DEMO","Batbagana Batkhuyag","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
273,"Godless","Bilguun Baatarkhuu","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
273,"Zyol","Zolboot Bayartsengel","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
276,"Alex","Khuselbaatar Khatanbaatar","$136,812.70","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,812.70","100.00%","Mongolia"
277,"Shu","Kim, Jin Seo","$135,666.67","Overwatch 2","$135,666.67","100.00%","Korea, Republic of"
278,"Kremp","Kyle Haworth","$135,625.00","Call of Duty: Modern Warfare III","$135,625.00","100.00%","United States"
279,"Beastmode","Landon Konerman","$135,250.00","Rocket League","$135,250.00","100.00%","United States"
280,"WithU","Ka-hin Cheng","$134,762.48","Arena of Valor","$134,762.48","100.00%","Hong Kong"
280,"Zaizai","Chui, Sum Ki","$134,762.48","Arena of Valor","$134,762.48","100.00%","Hong Kong"
282,"Matias","Matías Bonanno","$133,472.54","EA Sports FC 24","$133,472.54","100.00%","Argentina"
283,"Jiu","Liu, Xing","$132,528.05","Arena of Valor","$132,528.05","100.00%","China"
284,"Leo","-, -","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
284,"LYD","Lin, Yudong","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
284,"TXJ","Tan, Xujie","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
284,"Vvv","He, Wei","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
288,"JoeDeceives","Joseph Romero","$131,625.00","Call of Duty: Modern Warfare III","$131,625.00","100.00%","United States"
289,"Malik","Abdimalik Sailau","$131,000.00","Dota 2","$131,000.00","100.00%","Kazakhstan"
290,"TruleX","Nikola Krudulj","$130,737.50","Fortnite","$130,737.50","100.00%","Serbia"
291,"Koyful","Israel Lawrence","$130,166.67","Apex Legends","$130,166.67","100.00%","United States"
292,"BenjyFishy","Benjy David Fish","$130,000.00","VALORANT","$130,000.00","100.00%","United Kingdom"
292,"Boo","Ričardas Lukaševičius","$130,000.00","VALORANT","$130,000.00","100.00%","Lithuania"
292,"RieNs","Enes Ecirli","$130,000.00","VALORANT","$130,000.00","100.00%","Turkey"
295,"Davai Lama","Cedric Deckmyn","$128,547.97","Dota 2","$128,547.97","100.00%","Belgium"
296,"4nalog","João Gabriel Giannini","$128,119.40","Dota 2","$128,119.40","100.00%","Brazil"
