"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game"
111,"Oman","$92,666.91","37 Players","Fortnite","$83,855.00","90.49%"
112,"Afghanistan","$79,764.62","9 Players","Call of Duty: Black Ops 4","$73,870.60","92.61%"
113,"Paraguay","$68,116.36","47 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$21,111.66","30.99%"
114,"Yemen","$64,521.12","10 Players","Fortnite","$22,075.00","34.21%"
115,"Libyan Arab Jamahiriya","$63,520.30","14 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$54,833.39","86.32%"
116,"Sri Lanka","$33,012.34","33 Players","Vainglory","$11,010.97","33.35%"
117,"Nigeria","$32,086.71","7 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$17,086.71","53.25%"
118,"Cameroon","$28,375.95","1 Player","Street Fighter 6","$6,650.30","23.44%"
119,"Jamaica","$26,074.54","18 Players","Call of Duty: Warzone","$13,516.67","51.84%"
120,"Reunion","$25,042.73","20 Players","Rocket League","$25,042.73","100.00%"
121,"Ethiopia","$23,669.95","1 Player","Overwatch","$23,669.95","100.00%"
122,"Mauritius","$21,523.33","29 Players","Call of Duty: Mobile","$7,333.33","34.07%"
123,"El Salvador","$19,682.19","17 Players","Fortnite","$5,091.67","25.87%"
124,"Trinidad and Tobago","$17,419.26","8 Players","Fortnite","$3,775.00","21.67%"
125,"French Polynesia","$16,773.21","3 Players","League of Legends","$15,027.58","89.59%"
126,"Greenland","$15,325.00","3 Players","Fortnite","$15,325.00","100.00%"
127,"Monaco","$12,764.54","5 Players","Chess.com","$7,812.50","61.20%"
128,"Faroe Islands","$9,560.61","26 Players","Counter-Strike: Global Offensive","$9,296.06","97.23%"
129,"Guadeloupe","$8,888.64","1 Player","FIFA 18","$8,330.00","93.72%"
130,"Guyana","$8,366.67","2 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$7,666.67","91.63%"
131,"Côte D'Ivoire","$7,909.22","7 Players","Tekken 7","$7,200.00","91.03%"
132,"Turkmenistan","$6,670.40","10 Players","Dota 2","$6,450.00","96.70%"
133,"Fiji","$6,415.25","2 Players","Fortnite","$5,801.67","90.44%"
134,"Sudan","$6,355.84","3 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$6,355.84","100.00%"
135,"Netherlands Antilles","$5,700.00","1 Player","Overwatch 2","$5,700.00","100.00%"
136,"Suriname","$5,583.33","2 Players","Pokemon Unite","$4,683.33","83.88%"
137,"Namibia","$5,171.59","7 Players","Counter-Strike: Global Offensive","$5,000.00","96.68%"
138,"Tanzania","$4,500.00","1 Player","Magic: The Gathering Arena","$4,500.00","100.00%"
139,"Zimbabwe","$4,360.00","2 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$4,260.00","97.71%"
140,"Isle of Man","$4,286.00","2 Players","iRacing.com","$2,786.00","65.00%"
141,"Jersey","$4,165.60","4 Players","Echo Arena","$3,453.33","82.90%"
142,"Åland Islands","$3,920.20","19 Players","Heroes of Newerth","$2,737.38","69.83%"
143,"New Caledonia","$3,762.97","5 Players","Shadowverse","$3,300.00","87.70%"
144,"Guernsey","$3,670.11","1 Player","Rocket League","$3,670.11","100.00%"
145,"Tajikistan","$3,475.00","1 Player","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,475.00","100.00%"
146,"Madagascar","$3,458.00","8 Players","Tekken 7","$2,400.00","69.40%"
147,"Ghana","$3,349.89","6 Players","FIFA 19","$2,808.76","83.85%"
148,"Mozambique","$2,345.69","5 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,920.00","81.85%"
149,"Maldives","$2,171.54","7 Players","Rocket League","$2,050.00","94.40%"
150,"Kenya","$2,004.94","3 Players","Overwatch","$1,482.62","73.95%"
151,"Haiti","$1,900.00","1 Player","Fortnite","$1,900.00","100.00%"
152,"American Samoa","$1,750.00","1 Player","Rainbow Six Siege","$1,750.00","100.00%"
153,"Cyprus","$1,732.79","10 Players","Apex Legends","$1,269.99","73.29%"
