"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
255,"RiYue","Cao, Haixin","$150,734.67","Teamfight Tactics","$150,734.67","100.00%","China"
256,"Ming","Chi, Xiaoming","$148,443.89","Arena of Valor","$148,443.89","100.00%","China"
257,"A Hao","Gao, Zihao","$146,403.00","Teamfight Tactics","$146,403.00","100.00%","China"
258,"JueYi","Liao, Youxia","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
258,"TanRan","Sun, Linwei","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
258,"ZiYang","Xiang, Yang","$145,373.89","Arena of Valor","$145,373.89","100.00%","China"
261,"Maru","Cho, Sung Choo","$145,342.40","StarCraft II","$145,342.40","100.00%","Korea, Republic of"
262,"lou","Lou, Zhen","$144,750.00","Dota 2","$144,750.00","100.00%","China"
263,"Luki","- -","$143,466.66","Brawl Stars","$143,466.66","100.00%","Germany"
264,"JR","Ryan Na Jie Rong","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
264,"Siang","Lee, Han Siang","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
264,"Zhihong","Lim, Chee Hong","$143,333.33","Arena of Valor","$143,333.33","100.00%","Malaysia"
267,"Symantec","Bekri Tahiri","$143,249.99","Brawl Stars","$143,249.99","100.00%","Germany"
268,"QiYuan","Tu, Yi","$143,100.00","Teamfight Tactics","$143,100.00","100.00%","China"
269,"Jonny","Jonas Wirth","$142,666.40","EA Sports FC 24","$142,666.40","100.00%","Germany"
270,"ImperialHal","Philip Dosen","$142,166.67","Apex Legends","$142,166.67","100.00%","United States"
271,"QingTian","Li, Jingming","$141,980.00","Teamfight Tactics","$141,980.00","100.00%","China"
272,"Soulkey","Kim, Min Chul","$141,333.81","StarCraft: Remastered","$140,965.81","99.74%","Korea, Republic of"
273,"mini","Byun, Hyun Je","$140,191.17","StarCraft: Remastered","$139,639.17","99.61%","Korea, Republic of"
274,"BosS","Bartomeu Vadell Planisi","$139,333.33","Brawl Stars","$139,333.33","100.00%","Spain"
275,"LiangYu","Chen, Liangyu","$138,264.70","Arena of Valor","$138,264.70","100.00%","China"
275,"WanXing","Wang, Henghong","$138,264.70","Arena of Valor","$138,264.70","100.00%","China"
277,"Cui71","Choi, Yun Hyuk","$137,357.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$137,357.34","100.00%","Korea, Republic of"
